lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
615741.3001,2725502.833,vegetation,0.14396678,0.61948323,-1.066783,-0.049603175,-0.14396678,0.14396678,0.35243252,0.23496185,-0.049288787,0.25224373,0.30184692
621529.4114,2718115.871,vegetation,0.2064662,0.5248839,-1.7744585,-0.053971153,-0.2064662,0.2064662,0.46735036,0.31157523,-0.042283297,0.33286288,0.38683403
621545.7712,2716237.37,vegetation,0.14858742,0.7147001,-0.51757526,0.031015394,-0.14858742,0.14858742,0.24956866,0.16638474,-0.05968601,0.21129927,0.18028389
622012.2058,2712014.5,vegetation,0.25868222,0.39548782,-7.100702,-0.14267124,-0.25868222,0.25868222,0.6497717,0.43319058,-0.039369036,0.415074,0.5577452
621747.5534,2709507.353,vegetation,0.008189752,0.669478,-1.6239204,-0.1741457,-0.008189752,0.008189752,0.296961,0.19797926,-0.031380102,0.13098048,0.30512616
621556.4524,2706766.035,vegetation,0.18137282,0.5914204,-1.0733784,-0.029384691,-0.18137282,0.18137282,0.38509688,0.25673896,-0.057675123,0.27848873,0.30787343
617977.8886,2706344.083,vegetation,0.17882751,0.4541509,59.054234,-0.1834043,-0.17882751,0.17882751,0.5630478,0.3753731,-0.013239631,0.34905776,0.53246206
617993.034,2704543.892,vegetation,0.16515708,0.5684968,-1.4104426,-0.06743432,-0.16515708,0.16515708,0.4126476,0.2751062,-0.048737682,0.2799636,0.34739792
617583.4699,2702113.948,vegetation,0.19513315,0.59402615,-1.0518064,-0.010520248,-0.19513315,0.19513315,0.38201538,0.25468457,-0.05570073,0.28218704,0.2927073
616240.0549,2699911.098,vegetation,0.21898356,0.5463782,-1.4602718,-0.027531957,-0.21898356,0.21898356,0.44000453,0.29334465,-0.052811604,0.31494385,0.3424758
614186.3691,2696841.618,vegetation,0.18691479,0.6156198,-0.95726913,0.00279911,-0.18691479,0.18691479,0.35686168,0.23791504,-0.04887679,0.2762396,0.2734405
612838.7527,2695030.484,vegetation,0.095444456,0.6459861,-1.0644038,-0.08404586,-0.095444456,0.095444456,0.32260618,0.21507709,-0.043391984,0.22001177,0.30405763
614421.7781,2694338.801,vegetation,0.23085226,0.43932545,-4.290286,-0.11520404,-0.23085226,0.23085226,0.584296,0.38953978,-0.031811897,0.3795831,0.49478716
613143.1294,2692841.302,vegetation,0.19119409,0.54094374,-1.6751285,-0.060756844,-0.19119409,0.19119409,0.4468467,0.2979059,-0.044682693,0.31572562,0.37648246
612569.4761,2692836.71,vegetation,0.23977156,0.45135784,-3.8801906,-0.09261301,-0.23977156,0.23977156,0.5670164,0.3780199,-0.030751113,0.3860301,0.47864312
611926.6023,2692518.504,vegetation,0.17387527,0.5394358,-1.8789424,-0.08667217,-0.17387527,0.17387527,0.4487539,0.29917726,-0.04450644,0.304124,0.39079615
611573.0158,2691889.528,vegetation,0.1586833,0.5078725,-2.6386623,-0.1275691,-0.1586833,0.1586833,0.48954576,0.3263721,-0.03438358,0.31004933,0.43761843
609702.4383,2692657.566,vegetation,0.22179963,0.4664909,-2.7771847,-0.10271367,-0.22179963,0.22179963,0.5456861,0.3637998,-0.04802906,0.35850745,0.46122113
609765.6123,2693753.856,vegetation,0.18514371,0.50818896,-2.179344,-0.10044108,-0.18514371,0.18514371,0.48912787,0.32609376,-0.045083612,0.32133383,0.4217749
608758.1692,2694215.672,vegetation,0.19231188,0.5715591,-1.3122412,-0.03676265,-0.19231188,0.19231188,0.40892053,0.2726216,-0.0527184,0.2934436,0.33020625
608481.6147,2692882.932,vegetation,0.19525504,0.4380045,-5.5120053,-0.1633703,-0.19525504,0.19525504,0.58621085,0.39081624,-0.033480816,0.35478666,0.51815695
608488.2387,2692022.003,vegetation,0.26746765,0.4289206,-4.64735,-0.08299808,-0.26746765,0.26746765,0.599473,0.3996579,-0.027885308,0.4085136,0.4915117
609212.0046,2691166.608,vegetation,0.18865599,0.47806758,-2.7340474,-0.12499237,-0.18865599,0.18865599,0.52966386,0.35311812,-0.043710377,0.33320162,0.458194
611015.3362,2689850.069,vegetation,0.25467572,0.40756744,-7.7590947,-0.12370833,-0.25467572,0.25467572,0.63132274,0.42089108,-0.022786459,0.41302168,0.53673
612298.8512,2690799.483,vegetation,0.18084644,0.48535472,-3.0665672,-0.12697273,-0.18084644,0.18084644,0.51970667,0.3464797,-0.036039606,0.3269531,0.45392588
614441.4745,2691912.512,vegetation,0.13786677,0.7483315,-0.41559795,0.0435049,-0.13786677,0.13786677,0.21591422,0.14394781,-0.0609319,0.1976457,0.15414079
616083.1143,2692865.203,vegetation,0.22675957,0.46200302,-3.1042063,-0.096628934,-0.22675957,0.22675957,0.5519658,0.36798623,-0.038412888,0.36476475,0.46139368
618381.6932,2692414.676,vegetation,0.19511311,0.44358975,-4.166751,-0.15114468,-0.19511311,0.19511311,0.57813925,0.38543516,-0.035070468,0.35882273,0.5099674
619877.6209,2693601.425,vegetation,0.23893069,0.40871635,-7.6215577,-0.13904136,-0.23893069,0.23893069,0.62958467,0.4197322,-0.022989983,0.40193394,0.54097533
619647.219,2695399.771,vegetation,0.15600841,0.51762795,-2.4144738,-0.12289672,-0.15600841,0.15600841,0.47675693,0.31784603,-0.036949992,0.29716176,0.4200585
622584.0001,2695738.128,vegetation,0.25099018,0.39880395,-11.056718,-0.14030483,-0.25099018,0.25099018,0.6446759,0.42979294,-0.020732637,0.4186733,0.55897814
622065.8514,2697612.227,vegetation,0.17370956,0.4123057,-58.08976,-0.2131608,-0.17370956,0.17370956,0.6241731,0.416124,-0.010782521,0.36146775,0.57462853
622616.0045,2692059.488,vegetation,0.19588278,0.4009017,-9.770818,-0.19575177,-0.19588278,0.19588278,0.6414645,0.4276519,-0.024008088,0.38280302,0.5785548
620898.9294,2691575.018,vegetation,0.16600107,0.6456395,-0.7592219,0.000714184,-0.16600107,0.16600107,0.32298946,0.215333,-0.0585864,0.2555841,0.2548699
619764.1165,2690078.136,vegetation,0.24905634,0.36219782,-14.40556,-0.18773405,-0.24905634,0.24905634,0.7023092,0.46821555,-0.03145224,0.42204165,0.6097757
616035.8689,2689890.448,vegetation,0.19590418,0.4485945,-7.4084044,-0.15042292,-0.19590418,0.19590418,0.57096016,0.3806486,-0.020210393,0.3532421,0.50366503
612736.0303,2689941.979,vegetation,0.17879467,0.45064154,-6.995665,-0.16970763,-0.17879467,0.17879467,0.56803775,0.37870038,-0.025164537,0.34288603,0.5125936
610305.4594,2688905.251,vegetation,0.18364821,0.51543903,-1.9873359,-0.09275067,-0.18364821,0.18364821,0.4796116,0.31974953,-0.045314386,0.3226973,0.41544798
609715.832,2690935.704,vegetation,0.18035218,0.5155465,-2.153728,-0.09286376,-0.18035218,0.18035218,0.47947156,0.31965598,-0.03705647,0.31904095,0.41190472
600202.1276,2697517.805,vegetation,0.16810128,0.46361774,-5.726785,-0.16440651,-0.16810128,0.16810128,0.5497031,0.366477,-0.02330281,0.3347153,0.49912181
600118.7471,2699160.87,vegetation,0.14192945,0.62766266,-1.0107802,-0.04546064,-0.14192945,0.14192945,0.3431236,0.22875585,-0.049983315,0.24281265,0.2882733
599033.7411,2700562.035,vegetation,0.20233184,0.49448007,-2.4259021,-0.0970766,-0.20233184,0.20233184,0.5073744,0.33825806,-0.045756746,0.34234506,0.43942165
604638.7669,2698567.618,vegetation,0.117136486,0.49647158,-3.78361,-0.18717207,-0.117136486,0.117136486,0.50470364,0.3364771,-0.030275933,0.28741854,0.47459063
606301.5071,2696701.586,vegetation,0.1724138,0.5645656,-1.4055691,-0.060031597,-0.1724138,0.1724138,0.41745344,0.2783101,-0.04742846,0.2860928,0.34612438
605238.5065,2695049.917,vegetation,0.17180254,0.56402814,-1.3787061,-0.063596055,-0.17180254,0.17180254,0.4181123,0.27874938,-0.051608577,0.28875035,0.35234642
563097.0155,2707867.97,vegetation,0.21439862,0.4837102,-2.4826527,-0.09005452,-0.21439862,0.21439862,0.5219451,0.34797212,-0.043919142,0.34641963,0.43647414
564585.195,2711318.357,vegetation,0.15410091,0.70965564,-0.51550514,0.033392698,-0.15410091,0.15410091,0.25473094,0.16982622,-0.06291636,0.2268397,0.19344701
561729.2936,2709427.141,vegetation,0.19792992,0.4779037,-2.8916607,-0.11512149,-0.19792992,0.19792992,0.5298895,0.35326818,-0.0402354,0.34456983,0.45969132
561637.6717,2713966.021,vegetation,0.14872327,0.5703838,-1.83143,-0.097280525,-0.14872327,0.14872327,0.41035032,0.27357405,-0.045542262,0.27058208,0.3678626
561770.1219,2716392.785,vegetation,0.15779355,0.44245753,-6.316018,-0.20752716,-0.15779355,0.15779355,0.5797711,0.38652262,-0.03957343,0.3394927,0.5470199
562412.2286,2716865.226,vegetation,0.23475948,0.46944344,-2.868235,-0.084170856,-0.23475948,0.23475948,0.541576,0.36105952,-0.04299311,0.36492845,0.4490993
565764.5045,2719385.092,vegetation,0.2051677,0.4801931,-2.8165872,-0.10720458,-0.2051677,0.2051677,0.52674997,0.35117507,-0.04250016,0.3428667,0.45007125
565039.0061,2721494.839,vegetation,0.19196379,0.5960363,-1.015836,-0.013920631,-0.19196379,0.19196379,0.37964547,0.25310433,-0.05951516,0.29201317,0.3059338
