lat,lng,class,lswi,ci,evi,mndwi,ndbi,ndwi,savi,ndvi,ndpi,wetness,wwi
621416.9102,2722811.516,vegetation,0.16775939,0.48515686,-2.8120208,-0.14461227,-0.16775939,0.16775939,0.5199764,0.3466591,-0.044747937,0.3142409,0.4588532
621100.7089,2726252.967,vegetation,0.17611445,0.53977084,-1.5068233,-0.07765998,-0.17611445,0.17611445,0.44832978,0.29889458,-0.05323194,0.2926214,0.3702814
619960.8388,2725695.145,vegetation,0.18440233,0.5175385,-1.8952076,-0.092040256,-0.18440233,0.18440233,0.47687355,0.31792375,-0.049546674,0.31618914,0.40822938
616144.3742,2728637.244,vegetation,0.102436416,0.6647562,-0.7767624,-0.057873145,-0.102436416,0.102436416,0.30205688,0.20137714,-0.054711245,0.21013343,0.26800656
616926.5267,2729191.743,vegetation,0.22572227,0.42761558,-4.469035,-0.13262078,-0.22572227,0.22572227,0.6013932,0.40093738,-0.034302715,0.38974598,0.52236676
618655.0786,2727797.419,vegetation,0.007238355,0.64761585,-1.5287559,-0.1930004,-0.007238355,0.007238355,0.32080457,0.2138752,-0.044121213,0.13436271,0.32736313
618665.7714,2726545.079,vegetation,0.12314249,0.4829748,-4.455755,-0.1997769,-0.12314249,0.12314249,0.5229493,0.3486406,-0.034917142,0.29124063,0.49101752
618641.7061,2729362.846,vegetation,0.14572865,0.5546621,-1.5540502,-0.10157797,-0.14572865,0.14572865,0.42966852,0.28645316,-0.05035515,0.2747981,0.37637606
621225.3471,2728367.551,vegetation,0.18667534,0.44359934,-3.8480742,-0.16538799,-0.18667534,0.18667534,0.5781261,0.38542596,-0.044362176,0.3454167,0.5108047
620354.1393,2729847.25,vegetation,0.15740244,0.4694621,-3.5764043,-0.17195414,-0.15740244,0.15740244,0.5415512,0.36104223,-0.04100284,0.31802505,0.4899792
620439.913,2728204.164,vegetation,0.117090434,0.5391868,-2.7340267,-0.16560751,-0.117090434,0.117090434,0.44907042,0.29938745,-0.04643079,0.2765397,0.44214725
617576.8461,2728414.466,vegetation,0.21664199,0.4398752,-4.3362317,-0.13297464,-0.21664199,0.21664199,0.5835013,0.38900927,-0.034836818,0.37802047,0.5109951
